Date,Clicks,Impressions,CTR,Position
2026-07-16,1,48,2.08%,35.4
2026-07-17,0,37,0%,27
2026-07-18,0,41,0%,25.2
2026-07-19,0,37,0%,21.3
2026-07-20,0,66,0%,21
2026-07-21,0,56,0%,29.9
2026-07-22,1,66,1.52%,30.3
2026-07-23,0,74,0%,27.6
2026-07-24,0,72,0%,20.6
2026-07-25,0,77,0%,27.1
2026-07-26,0,59,0%,19.3
2026-07-27,3,71,4.23%,19.1
2026-07-28,1,77,1.3%,17.5
2026-07-29,0,83,0%,21.8
2026-07-30,1,75,1.33%,22.4
2026-07-31,2,67,2.99%,20.6
2026-08-01,0,88,0%,20.8
2026-08-02,1,83,1.2%,19.6
2026-08-03,1,90,1.11%,17.7
2026-08-04,1,80,1.25%,19.3
2026-08-05,1,103,0.97%,21
2026-08-06,1,85,1.18%,21.1
2026-08-07,1,56,1.79%,16.6
2026-08-08,1,75,1.33%,17.9
2026-08-09,4,126,3.17%,15.3
2026-08-10,1,154,0.65%,13.6
2026-08-11,0,108,0%,19.2
2026-08-12,2,118,1.69%,22.8
