Country,Clicks,Impressions,CTR,Position
United Kingdom,23,1776,1.3%,20.36
United States,0,52,0%,19.12
Vietnam,0,38,0%,28.26
India,0,31,0%,44.35
Indonesia,0,30,0%,30.9
Philippines,0,27,0%,31.59
Turkey,0,23,0%,19.7
Netherlands,0,22,0%,7.73
Spain,0,17,0%,19.65
Ukraine,0,13,0%,18.23
Thailand,0,13,0%,25.46
Jordan,0,13,0%,25.85
Germany,0,12,0%,5.92
Morocco,0,10,0%,28.1
Malaysia,0,10,0%,36.9
France,0,9,0%,18.67
Italy,0,7,0%,11
Bangladesh,0,6,0%,19.83
Pakistan,0,6,0%,29.33
Russia,0,6,0%,35.67
Algeria,0,5,0%,13.8
Saudi Arabia,0,4,0%,29.75
Mexico,0,4,0%,30.25
Japan,0,3,0%,1.67
Singapore,0,3,0%,5.33
Iraq,0,3,0%,32.67
Brazil,0,2,0%,3
Sweden,0,2,0%,8
Australia,0,2,0%,9
Austria,0,2,0%,9.5
Greece,0,2,0%,9.5
United Arab Emirates,0,2,0%,10
Taiwan,0,2,0%,10
Ireland,0,2,0%,32.5
Belgium,0,2,0%,43.5
Bulgaria,0,1,0%,1
Hong Kong,0,1,0%,6
Kazakhstan,0,1,0%,6
Bosnia & Herzegovina,0,1,0%,8
Sri Lanka,0,1,0%,9
Poland,0,1,0%,10
Switzerland,0,1,0%,11
Cameroon,0,1,0%,11
Tanzania,0,1,0%,11
Unknown Region,0,1,0%,12
South Korea,0,1,0%,13
